Symbol,7d%,Max Price,Min Price,max-min,Fluctuation,negative_positive,sorting_metric
MNT-USD,546.8228083706671,0.6985621452331543,0.0440410003066062,0.6545211449265481,14.861632123927238,positive,462.5701422964779
TRB-USD,89.77612939797365,64.41206359863281,30.447376251220703,33.96468734741211,1.1155209916010542,positive,76.14238183953745
GLMR-USD,59.64729593115108,0.2766669988632202,0.1605869978666305,0.1160800009965897,0.7228480670209403,positive,50.59177433142527
BICO-USD,41.09178525825448,0.28262659907341,0.200314000248909,0.0823125988245009,0.4109178525825445,positive,34.86637979162893
STPT-USD,39.13833943830343,0.0801170021295547,0.0505210012197494,0.0295960009098053,0.5858158032354235,positive,33.1797161520726
WLD-USD,35.98641390949842,1.8851035833358765,1.3862440586090088,0.4988595247268677,0.3598641390949841,positive,30.534472202209407
CDT-USD,24.31625322606688,0.2943769991397857,0.2325659990310669,0.0618110001087188,0.2657783182676755,positive,20.628948494416694
KNC-USD,23.81298740668696,0.741923987865448,0.5898550152778625,0.1520689725875854,0.2578073740984476,positive,20.20236818956915
CRV-USD,21.16175431310722,0.5432760119438171,0.4318690001964569,0.1114070117473602,0.2579648265948268,positive,17.948796442151913
WEMIX-USD,19.99869181266667,1.3198299407958984,0.7918810248374939,0.5279489159584045,0.6667023194131312,positive,16.8988826928547
ANT-USD,19.650174695060755,5.139219284057617,4.295204162597656,0.8440151214599609,0.1965017469506075,positive,16.67317322875905
CVX-USD,19.40742369478151,3.1048152446746826,2.5923290252685547,0.5124862194061279,0.197693353895552,positive,16.46665613747995
LINK-USD,18.477193307299647,7.859622001647949,6.633869171142578,1.225752830505371,0.1847719330729964,positive,15.677898521243751
MKR-USD,17.836694382532333,1530.4434814453125,1264.1583251953125,266.28515625,0.2106422517993218,positive,15.129593887382585
WCFG-USD,17.262298365933216,0.3269261121749878,0.2775419950485229,0.0493841171264649,0.1779338550831957,positive,14.646263532780754
BCH-USD,17.118544882249413,241.9552154541016,203.34912109375,38.60609436035159,0.1898512968863683,positive,14.522285455379045
LUNC-USD,16.024741063672224,6.70000008540228e-05,5.700000110664405e-05,9.999999747378752e-06,0.1754385886531698,positive,13.594714115823415
ARK-USD,15.798046485053812,0.6502370238304138,0.4765749871730804,0.1736620366573334,0.3643960369960911,positive,13.373680106746326
KRD-USD,15.307473038049231,1.0080770254135132,0.7793859839439392,0.2286910414695739,0.2934246267970141,positive,12.967338388322293
XRD-USD,14.521207493149396,0.0683050006628036,0.0560429990291595,0.012262001633644,0.2187963143668329,positive,12.310206922021962
CFG-USD,14.50710357465375,0.3234024047851562,0.2815180122852325,0.0418843924999237,0.1487805066536441,positive,12.30872096245764
EXRD-USD,14.470540449027975,0.068692997097969,0.0562210008502006,0.0124719962477684,0.2218387445822907,positive,12.266683569986435
FXS-USD,13.251871214287595,5.984182834625244,5.23422384262085,0.7499589920043945,0.1432798853380484,positive,11.242598549343748
DEL-USD,11.04745826078565,0.0237739998847246,0.0186027344316244,0.0051712654531002,0.2779841572273976,positive,9.348641898083692
BAND-USD,10.906993234014465,1.161083102226257,1.02327299118042,0.1378101110458371,0.1346758022869959,positive,9.250742878569246
RLB-USD,10.587746549104434,0.1219948753714561,0.099092997610569,0.0229018777608871,0.2311149961462509,positive,8.96491731731683
THETA-USD,10.563818227651185,0.6788319945335388,0.5802479982376099,0.0985839962959289,0.1698997611286185,positive,8.953760529334215
C98-USD,10.389373337242414,0.1510380506515503,0.1368229985237121,0.0142150521278381,0.1038937333724246,positive,8.815383276650188
USTC-USD,10.282507842150878,0.0136430002748966,0.0121299996972084,0.0015130005776881,0.1247321199881317,positive,8.721421847830026
APE-USD,10.210857163444894,1.1960831880569458,1.0852680206298828,0.1108151674270629,0.1021085716344489,positive,8.663912303182993
CUSDT-USD,10.008233361400148,0.0201350003480911,0.0173610001802444,0.0027740001678467,0.1597834306230419,positive,8.48303084259667
ZEN-USD,9.734045164872278,7.896811008453369,7.193576812744141,0.7032341957092285,0.0977586274554514,positive,8.259274596023117
RUNE-USD,9.100797094398878,1.9101945161819456,1.6602380275726318,0.2499564886093137,0.150554609916245,positive,7.71309433875161
API3-USD,8.404008095821213,1.1775330305099487,1.073083996772766,0.1044490337371828,0.0973353754704262,positive,7.1288065751274665
SXP-USD,7.941350360131285,0.3184719979763031,0.2728070020675659,0.0456649959087371,0.1673893835665822,positive,6.725039398576604
MURA-USD,7.883445379437871,1.6861979961395264,1.4479010105133057,0.2382969856262207,0.1645809926893692,positive,6.6762414236187855
STX-USD,7.859747538145653,0.003796000033617,0.0035129999741911,0.0002830000594259,0.0805579452049565,positive,6.668701715643062
RPL-USD,7.642186477286396,22.528764724731445,20.64548110961914,1.883283615112305,0.0912201369933125,positive,6.48217548514444
PUNDIX-USD,7.4355810397093585,0.3707720041275024,0.3368729948997497,0.0338990092277526,0.1006284556523764,positive,6.3051496154050986
POLY-USD,7.0064333626568445,0.1270470023155212,0.1115590035915374,0.0154879987239838,0.1388323508220961,positive,5.9346435056350035
MC-USD,6.935860033348895,0.4177570044994354,0.3152639865875244,0.102493017911911,0.325102207268627,positive,5.846715697256267
CHSB-USD,6.785234946988688,0.1344447433948516,0.1228590011596679,0.0115857422351837,0.0943011267048056,positive,5.753304535934665
1INCH-USD,6.508898285318443,0.2778970003128052,0.2510760128498077,0.0268209874629974,0.1068241731202003,positive,5.516539916552646
GNS-USD,6.238623384135543,3.335310935974121,3.110642910003662,0.2246680259704589,0.0722255920947848,positive,5.291996037700994
