period,AAVE-USD,ANKR-USD,AXS-USD,BAND-USD,BCH-USD,BNB-USD,C98-USD,CAKE-USD,CDT-USD,CELO-USD,CFX-USD,CRV-USD,CUSDT-USD,DEL-USD,ENS-USD,FIL-USD,FRXETH-USD,GLM-USD,GUSD-USD,HIVE-USD,HOT-USD,ICX-USD,INJ-USD,JASMY-USD,KAVA-USD,KNC-USD,KRD-USD,LINK-USD,LRC-USD,LTC-USD,MANA-USD,MC-USD,MKR-USD,POLYX-USD,PUNDIX-USD,QTUM-USD,SETH2-USD,SFRXETH-USD,SHIB-USD,SNT-USD,STX-USD,SXP-USD,TFUEL-USD,THETA-USD,TRB-USD,USTC-USD,WBTC-USD,WCFG-USD,WEMIX-USD,ZEC-USD
2019-11-01,,0.0019539999775588512,,0.2900860011577606,218.90786743164062,15.715950965881348,,,,,,,,,,3.8980801105499268,,0.03782400116324425,0.9980649948120117,,0.0032210000790655613,0.1355070024728775,,,1.0747849941253662,,,2.2420759201049805,0.030021000653505325,47.47542953491211,0.02542800083756447,,544.4522705078125,,,1.805098056793213,,,,0.011233000084757805,0.1102449968457222,1.1947009563446045,0.0030769999139010906,0.07180900126695633,,,7599.79833984375,,,29.055877685546875
2019-12-01,,0.0014530000044032931,,0.22133499383926392,204.6231689453125,13.727642059326172,,,,,,,,,,3.3658061027526855,,0.029053999111056328,0.9947620034217834,,0.002179000061005354,0.11341799795627594,,,1.1199109554290771,,,1.7694710493087769,0.021671999245882034,41.34007263183594,0.030138999223709106,,430.9646301269531,,,1.6101529598236084,,,,0.008999999612569809,0.09511099755764008,1.1908249855041504,0.002369999885559082,0.08710800111293793,4.143239974975586,,7204.771484375,,,27.62629508972168
2020-01-01,,0.0013200000394135714,,0.25544700026512146,375.3895568847656,18.210979461669922,,,,,,,,,,3.8495209217071533,,0.04111500084400177,0.9961079955101013,,0.0025239998940378428,0.25514599680900574,,,1.0561779737472534,,,2.823791027069092,0.028675999492406845,67.8794937133789,0.03534200042486191,,545.33154296875,,,2.118372917175293,,,,0.010871999897062778,0.09564899653196335,1.8726630210876465,0.002486000070348382,0.10422500222921371,2.9766829013824463,,9358.923828125,,,66.53315734863281
2020-02-01,,0.0021800000686198473,,0.3266119956970215,308.32623291015625,19.584091186523438,,,,,,,,,,4.241772174835205,,0.05286199972033501,0.9987750053405762,,0.0022690000478178263,0.2966890037059784,,,0.8175280094146729,,,4.108541011810303,0.040727999061346054,58.54326248168945,0.03709600120782852,,556.4219970703125,,,2.04606294631958,,,,0.01463599968701601,0.12247899919748306,1.0500060319900513,0.0028699999675154686,0.11867599934339523,4.246039867401123,,8562.3486328125,,,49.31151580810547
2020-03-01,,0.001474000047892332,,0.29054901003837585,219.62759399414062,12.581605911254883,,,,,,,,,,4.123717784881592,,0.03363100066781044,0.9986960291862488,,0.001353000057861209,0.21166899800300598,,,0.4888649880886078,,,2.2703440189361572,0.02661300078034401,39.299102783203125,0.026340000331401825,,279.5102844238281,,,1.2166340351104736,,,,0.017841000109910965,0.08738700300455093,0.4008300006389618,0.0017180000431835651,0.07386600226163864,3.097234010696411,,6483.63818359375,,,31.083118438720703
2020-04-01,,0.0015290000010281801,,1.040779948234558,249.84295654296875,17.03397560119629,,,,,,,,,,5.241865158081055,,0.0428909994661808,1.0004090070724487,0.41436201333999634,0.0018019999843090773,0.2799980044364929,,,0.583450973033905,,,3.7204771041870117,0.033615998923778534,46.714019775390625,0.031631000339984894,,338.7858581542969,,,1.5420130491256714,,,,0.020639000460505486,0.1031470000743866,0.5754219889640808,0.0019420000026002526,0.1211320012807846,4.58375883102417,,8726.4052734375,,,44.99931716918945
2020-05-01,,0.0021780000533908606,,1.5018980503082275,239.8770294189453,17.04047203063965,,,,,,,,,,11.421042442321777,,0.050655998289585114,1.0150480270385742,0.23451299965381622,0.002483000047504902,0.3271540105342865,,,0.8378499746322632,,,4.129938125610352,0.04834200069308281,45.59188461303711,0.039778999984264374,,461.1142883300781,,,1.7513610124588013,,,,0.02883400022983551,0.13349300622940063,0.4899519979953766,0.008457000367343426,0.24753500521183014,5.919179916381836,,9410.212890625,,,51.68647384643555
2020-06-01,,0.003421999979764223,,1.0969330072402954,221.99168395996094,15.413581848144531,,,,1.7559499740600586,,,,,,12.987561225891113,,0.051065001636743546,0.9978049993515015,0.21769900619983673,0.00735899992287159,0.28958699107170105,,,1.2569489479064941,,,4.569189071655273,0.07455199956893921,41.46779251098633,0.03769399970769882,,455.84747314453125,,,1.6337690353393555,,,,0.022506000474095345,0.1329910010099411,0.5123170018196106,0.008183999918401241,0.22187699377536774,7.364819049835205,,9186.48046875,,,51.58265686035156
2020-07-01,,0.005797000136226416,,4.233713150024414,300.5045166015625,20.66814613342285,,,,1.7419250011444092,,,,,,16.661331176757812,,0.060263000428676605,0.994513988494873,0.22254599630832672,0.005377000197768211,0.37386301159858704,,,2.4303390979766846,,,7.77291202545166,0.10227199643850327,57.998138427734375,0.045715998858213425,,557.337890625,,,2.4151570796966553,,,,0.026325000450015068,0.17290900647640228,1.7603950500488281,0.008294000290334225,0.2688489854335785,12.54256534576416,,11919.1806640625,,,74.6041030883789
2020-08-01,,0.013430999591946602,,13.146343231201172,274.5431823730469,23.193050384521484,,,,3.9199459552764893,,,0.020284000784158707,,,23.135848999023438,,0.13437199592590332,0.9979829788208008,0.24324999749660492,0.010160000063478947,0.5976679921150208,,,4.003598213195801,,,15.708488464355469,0.21610400080680847,61.11379623413086,0.09872099757194519,,680.4004516601562,,,3.367479085922241,,,0.0,0.04081699997186661,0.2503949999809265,2.863097906112671,0.01079699955880642,0.4780220091342926,67.82474517822266,,11845.5849609375,,,79.50347900390625
2020-09-01,,0.007840000092983246,,6.486783027648926,228.00575256347656,29.290876388549805,,,,2.265636920928955,,0.9477789998054504,0.02030099928379059,,,22.186716079711914,,0.10545600205659866,0.9966650009155273,0.1522819995880127,0.005566000007092953,0.42211100459098816,,,2.2809529304504395,,,9.85120964050293,0.205145001411438,46.3714599609375,0.0838410034775734,,569.2676391601562,,,2.424643039703369,,,0.0,0.024567000567913055,0.1611659973859787,1.737995982170105,0.010689999908208847,0.7445949912071228,22.439714431762695,,10779.2587890625,,,65.98600769042969
